"","Views","Title","Department","Details","Amount","Date","Place","ID"
"697","75 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78493"
"698","77 views","
                      I Paid Rs. 1200 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 1,200
                        ","October 12, 2015","Bangalore
                      , Karnataka","78492"
"699","69 views","
                      I Paid Rs. 800 to Income Tax in Bangalore.
                    ","Income Tax","New PAN Card","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78491"
"700","84 views","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78490"
"701","69 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78489"
"702","90 views","
                      I Paid Rs. 800 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78487"
"703","50 views","
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78486"
"704","55 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78485"
"705","63 views","
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Police","Police Verification for Passport","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78484"
"706","53 views","
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78483"
"707","58 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78482"
"708","46 views","
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78480"
"709","70 views","
                      I Paid Rs. 900 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Flat or Apartment","Paid INR 900
                        ","October 12, 2015","Bangalore
                      , Karnataka","78478"
"710","69 views","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78477"
"711","51 views","
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78476"
"712","45 views","
                      I Paid Rs. 800 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78475"
"713","48 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78474"
"714","54 views","
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78473"
"715","63 views","
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Police","Police Harassment","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78472"
"716","49 views","
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78471"
"717","48 views","
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Police","Police Harassment","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78470"
"718","47 views","
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78469"
"719","59 views","
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Transport","New Domestic Driving License","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78468"
"720","81 views","
                      I Paid Rs. 800 to Passport in Bangalore.
                    ","Passport","New Passport Application","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78467"
